v8-version,6,2,414,54,0
code-creation,Builtin,5,2252,0x3485bc3542a0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,2252,0x3485bc354320,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,2253,0x3485bc3543a0,15,"FunctionConstructor"
code-creation,Builtin,5,2254,0x3485bc354420,64,"FunctionPrototypeApply"
code-creation,Builtin,5,2254,0x3485bc3544c0,1240,"CallWithArrayLike"
code-creation,Builtin,5,2255,0x3485bc354a00,81,"CallVarargs"
code-creation,Builtin,5,2255,0x3485bc354ac0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,2256,0x3485bc354e80,15,"FunctionPrototypeBind"
code-creation,Builtin,5,2257,0x3485bc354f00,47,"FunctionPrototypeCall"
code-creation,Builtin,5,2257,0x3485bc354fa0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,2258,0x3485bc355020,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,2258,0x3485bc355180,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,2259,0x3485bc355220,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,2260,0x3485bc3556a0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,2260,0x3485bc355b20,159,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,2261,0x3485bc355c20,167,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,2262,0x3485bc355d40,163,"AsyncGeneratorYieldResolveClosure"
code-creation,Builtin,5,2262,0x3485bc355e60,167,"AsyncGeneratorReturnResolveClosure"
code-creation,Builtin,5,2263,0x3485bc355f80,163,"AsyncGeneratorReturnClosedResolveClosure"
code-creation,Builtin,5,2263,0x3485bc3560a0,159,"AsyncGeneratorReturnClosedRejectClosure"
code-creation,Builtin,5,2266,0x3485bc3561a0,20,"ArrayConstructor"
code-creation,Builtin,5,2267,0x3485bc356220,99,"ArrayIsArray"
code-creation,Builtin,5,2268,0x3485bc356300,15,"ArrayConcat"
code-creation,Builtin,5,2268,0x3485bc356380,651,"FastArrayPop"
code-creation,Builtin,5,2269,0x3485bc356680,15,"ArrayPop"
code-creation,Builtin,5,2269,0x3485bc356700,2400,"FastArrayPush"
code-creation,Builtin,5,2270,0x3485bc3570c0,15,"ArrayPush"
code-creation,Builtin,5,2271,0x3485bc357140,1056,"FastArrayShift"
code-creation,Builtin,5,2271,0x3485bc3575c0,15,"ArrayShift"
code-creation,Builtin,5,2272,0x3485bc357640,15,"ArrayUnshift"
code-creation,Builtin,5,2272,0x3485bc3576c0,15,"ArraySlice"
code-creation,Builtin,5,2273,0x3485bc357740,15,"ArraySplice"
code-creation,Builtin,5,2273,0x3485bc3577c0,1264,"ArrayIncludes"
code-creation,Builtin,5,2274,0x3485bc357d20,1052,"ArrayIndexOf"
code-creation,Builtin,5,2275,0x3485bc3581a0,386,"ArrayPrototypeKeys"
code-creation,Builtin,5,2275,0x3485bc3583a0,526,"ArrayPrototypeEntries"
code-creation,Builtin,5,2276,0x3485bc358620,526,"ArrayPrototypeValues"
code-creation,Builtin,5,2276,0x3485bc3588a0,1509,"ArrayForEach"
code-creation,Builtin,5,2277,0x3485bc358f00,538,"ToLength"
code-creation,Builtin,5,2278,0x3485bc359180,249,"NonNumberToNumber"
code-creation,Builtin,5,2278,0x3485bc3592e0,190,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,2279,0x3485bc359400,2784,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,2279,0x3485bc359f40,1936,"ProxyHasProperty"
code-creation,Builtin,5,2280,0x3485bc35a740,2028,"HasProperty"
code-creation,Builtin,5,2281,0x3485bc35afa0,5774,"ArrayFilter"
code-creation,Builtin,5,2281,0x3485bc35c6a0,4696,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,2282,0x3485bc35d960,2764,"ArrayMap"
code-creation,Builtin,5,2282,0x3485bc35e4a0,2832,"ArrayMapLoopContinuation"
code-creation,Builtin,5,2283,0x3485bc35f020,1761,"ArrayEvery"
code-creation,Builtin,5,2284,0x3485bc35f780,2880,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,2284,0x3485bc360320,1737,"ArraySome"
code-creation,Builtin,5,2285,0x3485bc360a60,2864,"ArraySomeLoopContinuation"
